Ref,Val,Package,PosX,PosY,Rot,Side
"B_SW1","BOOTSEL_SW","KEY-SMD_4P-L4.2-W3.2-P2.20-LS4.6",79.610000,-44.740000,0.000000,bottom
"B_SW2","BOOTSEL_SW","KEY-SMD_4P-L4.2-W3.2-P2.20-LS4.6",171.460000,-50.940000,-90.000000,bottom
"C1","10μF","C_0603_1608Metric",94.400000,-56.275000,-90.000000,bottom
"C2","100nF","C_0402_1005Metric",93.200000,-56.530000,-90.000000,bottom
"C3","10μF","C_0603_1608Metric",91.950000,-52.225000,90.000000,bottom
"C4","100nF","C_0402_1005Metric",95.800000,-49.380000,90.000000,bottom
"C5","4.7μF","C_0402_1005Metric",97.080000,-48.840000,90.000000,bottom
"C6","10μF 25V","C_0603_1608Metric",98.350000,-48.975000,90.000000,bottom
"C7","100nF","C_0402_1005Metric",90.700000,-52.470000,90.000000,bottom
"C8","10μF","C_0603_1608Metric",107.550000,-52.775000,90.000000,bottom
"C9","100nF","C_0402_1005Metric",108.750000,-53.320000,90.000000,bottom
"C10","22μF","C_0603_1608Metric",104.500000,-57.975000,90.000000,bottom
"C11","100nF","C_0402_1005Metric",105.700000,-57.730000,90.000000,bottom
"C12","10μF","C_0402_1005Metric",115.900000,-53.370000,90.000000,bottom
"C13","10μF","C_0603_1608Metric",113.300000,-53.825000,90.000000,bottom
"C14","100nF","C_0402_1005Metric",143.300000,-74.030000,90.000000,bottom
"C15","100nF","C_0402_1005Metric",132.500000,-77.480000,90.000000,bottom
"C16","10μF","C_0402_1005Metric",133.450000,-77.480000,90.000000,bottom
"C17","100nF","C_0402_1005Metric",135.350000,-77.480000,90.000000,bottom
"C18","10μF","C_0402_1005Metric",136.300000,-77.480000,90.000000,bottom
"C19","10μF","C_0402_1005Metric",126.470000,-70.150000,0.000000,bottom
"C20","100nF","C_0402_1005Metric",126.470000,-71.100000,0.000000,bottom
"C21","10μF","C_0402_1005Metric",190.900000,-70.352500,90.000000,bottom
"C22","100nF","C_0402_1005Metric",133.300000,-63.220000,-90.000000,bottom
"C23","100nF","C_0402_1005Metric",134.400000,-77.480000,90.000000,bottom
"C24","100nF","C_0402_1005Metric",126.470000,-73.000000,0.000000,bottom
"C25","100nF","C_0402_1005Metric",129.180000,-69.175000,0.000000,bottom
"C26","100nF","C_0402_1005Metric",143.820000,-67.850000,180.000000,bottom
"C27","100nF","C_0402_1005Metric",191.850000,-70.352500,90.000000,bottom
"C28","100nF","C_0402_1005Metric",143.820000,-70.000000,180.000000,bottom
"C29","1μF","C_0402_1005Metric",185.720000,-68.950000,180.000000,bottom
"C30","100nF","C_0402_1005Metric",138.200000,-63.230000,-90.000000,bottom
"C31","100nF","C_0402_1005Metric",146.795000,-84.500000,180.000000,bottom
"C32","100nF","C_0402_1005Metric",143.820000,-68.950000,180.000000,bottom
"C33","100nF","C_0402_1005Metric",146.795000,-85.425000,180.000000,bottom
"C34","100nF","C_0402_1005Metric",143.820000,-70.950000,180.000000,bottom
"C36","100nF","C_0402_1005Metric",138.200000,-77.480000,90.000000,bottom
"C38","100nF","C_0402_1005Metric",137.250000,-77.480000,90.000000,bottom
"C41","100nF","C_0402_1005Metric",134.500000,-63.230000,-90.000000,bottom
