Ref,Val,Package,PosX,PosY,Rot,Side
"D1","LED_Small","LED_0603_1608Metric",84.637500,-46.025000,0.000000,top
"D2","LED_ACT","LED_0603_1608Metric",111.562500,-114.350000,0.000000,top
"D3","LED_FULL","LED_0603_1608Metric",106.562500,-114.350000,0.000000,top
"D4","LED_CHG","LED_0603_1608Metric",101.562500,-114.350000,0.000000,top
"HDMI","J_HDMI_CTRL","FPC-SMD_24P-P0.50_FPC-05F-24PH20",121.850000,-46.740000,180.000000,top
"K_SW3","KeyBoard","KEY-SMD_4P-L4.2-W3.2-P2.20-LS4.6",67.050000,-64.680000,0.000000,top
"K_SW4","KeyBoard","KEY-SMD_4P-L4.2-W3.2-P2.20-LS4.6",75.550000,-64.650000,0.000000,top
"K_SW5","KeyBoard","KEY-SMD_4P-L4.2-W3.2-P2.20-LS4.6",84.050000,-64.680000,0.000000,top
"K_SW6","KeyBoard","KEY-SMD_4P-L4.2-W3.2-P2.20-LS4.6",92.550000,-64.680000,0.000000,top
"K_SW7","KeyBoard","KEY-SMD_4P-L4.2-W3.2-P2.20-LS4.6",101.050000,-64.680000,0.000000,top
"K_SW8","KeyBoard","KEY-SMD_4P-L4.2-W3.2-P2.20-LS4.6",109.550000,-64.680000,0.000000,top
"K_SW9","KeyBoard","KEY-SMD_4P-L4.2-W3.2-P2.20-LS4.6",118.050000,-64.680000,0.000000,top
"K_SW10","KeyBoard","KEY-SMD_4P-L4.2-W3.2-P2.20-LS4.6",126.550000,-64.680000,0.000000,top
"K_SW11","KeyBoard","KEY-SMD_4P-L4.2-W3.2-P2.20-LS4.6",135.050000,-64.680000,0.000000,top
"K_SW12","KeyBoard","KEY-SMD_4P-L4.2-W3.2-P2.20-LS4.6",143.550000,-64.680000,0.000000,top
"K_SW13","KeyBoard","KEY-SMD_4P-L4.2-W3.2-P2.20-LS4.6",152.050000,-64.680000,0.000000,top
"K_SW14","KeyBoard","KEY-SMD_4P-L4.2-W3.2-P2.20-LS4.6",160.550000,-64.680000,0.000000,top
"K_SW15","KeyBoard","KEY-SMD_4P-L4.2-W3.2-P2.20-LS4.6",169.050000,-64.680000,0.000000,top
"K_SW16","KeyBoard","KEY-SMD_4P-L4.2-W3.2-P2.20-LS4.6",177.550000,-64.680000,0.000000,top
"K_SW17","KeyBoard","KEY-SMD_4P-L4.2-W3.2-P2.20-LS4.6",186.050000,-64.680000,0.000000,top
"K_SW18","KeyBoard","KEY-SMD_4P-L4.2-W3.2-P2.20-LS4.6",69.050000,-73.180000,0.000000,top
"K_SW19","KeyBoard","KEY-SMD_4P-L4.2-W3.2-P2.20-LS4.6",79.550000,-73.180000,0.000000,top
"K_SW20","KeyBoard","KEY-SMD_4P-L4.2-W3.2-P2.20-LS4.6",88.050000,-73.180000,0.000000,top
"K_SW21","KeyBoard","KEY-SMD_4P-L4.2-W3.2-P2.20-LS4.6",96.550000,-73.180000,0.000000,top
"K_SW22","KeyBoard","KEY-SMD_4P-L4.2-W3.2-P2.20-LS4.6",105.050000,-73.180000,0.000000,top
"K_SW23","KeyBoard","KEY-SMD_4P-L4.2-W3.2-P2.20-LS4.6",113.550000,-73.180000,0.000000,top
"K_SW24","KeyBoard","KEY-SMD_4P-L4.2-W3.2-P2.20-LS4.6",122.050000,-73.180000,0.000000,top
"K_SW25","KeyBoard","KEY-SMD_4P-L4.2-W3.2-P2.20-LS4.6",130.550000,-73.180000,0.000000,top
"K_SW26","KeyBoard","KEY-SMD_4P-L4.2-W3.2-P2.20-LS4.6",139.050000,-73.180000,0.000000,top
"K_SW27","KeyBoard","KEY-SMD_4P-L4.2-W3.2-P2.20-LS4.6",147.550000,-73.180000,0.000000,top
"K_SW28","KeyBoard","KEY-SMD_4P-L4.2-W3.2-P2.20-LS4.6",156.050000,-73.180000,0.000000,top
"K_SW29","KeyBoard","KEY-SMD_4P-L4.2-W3.2-P2.20-LS4.6",164.550000,-73.180000,0.000000,top
"K_SW30","KeyBoard","KEY-SMD_4P-L4.2-W3.2-P2.20-LS4.6",173.050000,-73.180000,0.000000,top
"K_SW31","KeyBoard","KEY-SMD_4P-L4.2-W3.2-P2.20-LS4.6",184.800000,-77.430000,0.000000,top
"K_SW32","KeyBoard","KEY-SMD_4P-L4.2-W3.2-P2.20-LS4.6",70.050000,-81.680000,0.000000,top
"K_SW33","KeyBoard","KEY-SMD_4P-L4.2-W3.2-P2.20-LS4.6",81.550000,-81.680000,0.000000,top
"K_SW34","KeyBoard","KEY-SMD_4P-L4.2-W3.2-P2.20-LS4.6",90.050000,-81.680000,0.000000,top
"K_SW35","KeyBoard","KEY-SMD_4P-L4.2-W3.2-P2.20-LS4.6",98.550000,-81.680000,0.000000,top
"K_SW36","KeyBoard","KEY-SMD_4P-L4.2-W3.2-P2.20-LS4.6",107.050000,-81.680000,0.000000,top
"K_SW37","KeyBoard","KEY-SMD_4P-L4.2-W3.2-P2.20-LS4.6",115.550000,-81.680000,0.000000,top
"K_SW38","KeyBoard","KEY-SMD_4P-L4.2-W3.2-P2.20-LS4.6",124.050000,-81.680000,0.000000,top
"K_SW39","KeyBoard","KEY-SMD_4P-L4.2-W3.2-P2.20-LS4.6",132.550000,-81.680000,0.000000,top
"K_SW40","KeyBoard","KEY-SMD_4P-L4.2-W3.2-P2.20-LS4.6",141.050000,-81.680000,0.000000,top
"K_SW41","KeyBoard","KEY-SMD_4P-L4.2-W3.2-P2.20-LS4.6",149.550000,-81.680000,0.000000,top
"K_SW42","KeyBoard","KEY-SMD_4P-L4.2-W3.2-P2.20-LS4.6",158.050000,-81.680000,0.000000,top
"K_SW43","KeyBoard","KEY-SMD_4P-L4.2-W3.2-P2.20-LS4.6",166.550000,-81.680000,0.000000,top
